trace_id,service,timestamp,level,message,anomaly_type
trace-770487,ts-order-service,2025-03-27 13:16:32.942748,INFO,ts-order-service processed request in 324ms,normal
trace-770487,ts-order-service,2025-03-27 13:16:32.935748,INFO,ts-order-service processed request in 324ms,normal
trace-207473,ts-config-service,2025-03-26 21:28:25.967748,ERROR,ts-config-service resource exhausted (memory/CPU) | trace_id=trace-207473,resource_exhaustion
trace-207473,ts-config-service,2025-03-26 21:28:23.193748,ERROR,ts-config-service resource exhausted (memory/CPU) | trace_id=trace-207473,resource_exhaustion
trace-343962,ts-station-service,2025-03-26 22:55:47.769748,INFO,ts-station-service processed request in 332ms,normal
trace-343962,ts-station-service,2025-03-26 22:55:47.704748,INFO,ts-station-service processed request in 332ms,normal
trace-343962,ts-station-service,2025-03-26 22:55:47.914748,INFO,ts-station-service processed request in 332ms,normal
trace-539898,ts-ticket-service,2025-03-27 09:18:12.018748,INFO,ts-ticket-service processed request in 376ms,normal
trace-539898,ts-ticket-service,2025-03-27 09:18:11.699748,INFO,ts-ticket-service processed request in 376ms,normal
trace-391369,ts-ticket-service,2025-03-27 11:40:05.878748,ERROR,ts-ticket-service internal server error (code:5XX) | trace_id=trace-391369,high_error_rate
trace-476417,ts-station-service,2025-03-27 04:48:22.722748,INFO,ts-station-service processed request in 288ms,normal
trace-476417,ts-station-service,2025-03-27 04:48:22.864748,INFO,ts-station-service processed request in 288ms,normal
trace-496922,ts-station-service,2025-03-27 14:27:37.031748,INFO,ts-station-service processed request in 378ms,normal
trace-496922,ts-station-service,2025-03-27 14:27:36.881748,INFO,ts-station-service processed request in 378ms,normal
trace-496922,ts-station-service,2025-03-27 14:27:36.749748,WARN,ts-station-service processed request in 378ms,normal
trace-705397,ts-payment-service,2025-03-27 10:19:41.731748,INFO,ts-payment-service processed request in 338ms,normal
trace-910620,ts-order-service,2025-03-27 06:47:34.753748,INFO,ts-order-service processed request in 276ms,normal
trace-910620,ts-order-service,2025-03-27 06:47:34.868748,INFO,ts-order-service processed request in 276ms,normal
trace-391476,ts-payment-service,2025-03-27 00:49:15.886748,INFO,ts-payment-service processed request in 327ms,normal
trace-391476,ts-payment-service,2025-03-27 00:49:15.894748,INFO,ts-payment-service processed request in 327ms,normal
trace-391476,ts-payment-service,2025-03-27 00:49:15.708748,INFO,ts-payment-service processed request in 327ms,normal
trace-802729,ts-payment-service,2025-03-27 07:36:31.844748,INFO,ts-payment-service processed request in 276ms,normal
trace-802729,ts-payment-service,2025-03-27 07:36:31.831748,INFO,ts-payment-service processed request in 276ms,normal
trace-802729,ts-payment-service,2025-03-27 07:36:31.749748,INFO,ts-payment-service processed request in 276ms,normal
trace-864544,ts-user-service,2025-03-27 08:24:57.918748,INFO,ts-user-service processed request in 276ms,normal
trace-864544,ts-user-service,2025-03-27 08:24:57.757748,INFO,ts-user-service processed request in 276ms,normal
trace-817870,ts-config-service,2025-03-27 05:31:20.887748,INFO,ts-config-service processed request in 312ms,normal
trace-520651,ts-order-service,2025-03-27 07:34:51.693748,WARN,ts-order-service processed request in 204ms,normal
trace-520651,ts-order-service,2025-03-27 07:34:51.854748,INFO,ts-order-service processed request in 204ms,normal
trace-322955,ts-ticket-service,2025-03-26 17:27:55.741748,INFO,ts-ticket-service processed request in 213ms,normal
trace-246413,ts-payment-service,2025-03-27 08:20:59.694748,INFO,ts-payment-service processed request in 271ms,normal
trace-518801,ts-ticket-service,2025-03-27 04:08:57.682748,ERROR,ts-ticket-service internal server error (code:5XX) | trace_id=trace-518801,high_error_rate
trace-518801,ts-ticket-service,2025-03-27 04:08:57.684748,ERROR,ts-ticket-service internal server error (code:5XX) | trace_id=trace-518801,high_error_rate
trace-518801,ts-ticket-service,2025-03-27 04:08:57.908748,ERROR,ts-ticket-service internal server error (code:5XX) | trace_id=trace-518801,high_error_rate
trace-892495,ts-config-service,2025-03-27 15:36:49.674748,INFO,ts-config-service processed request in 315ms,normal
trace-930555,ts-station-service,2025-03-27 01:57:31.770748,WARN,ts-station-service processed request in 254ms,normal
trace-930555,ts-station-service,2025-03-27 01:57:31.711748,INFO,ts-station-service processed request in 254ms,normal
trace-590785,ts-auth-service,2025-03-26 22:03:52.685748,INFO,ts-auth-service processed request in 229ms,normal
trace-456699,ts-auth-service,2025-03-27 13:16:03.821748,INFO,ts-auth-service processed request in 373ms,normal
trace-456699,ts-auth-service,2025-03-27 13:16:03.759748,INFO,ts-auth-service processed request in 373ms,normal
trace-624902,ts-station-service,2025-03-27 10:49:30.089748,ERROR,ts-station-service request timeout after 2880ms | trace_id=trace-624902,timeout
trace-624902,ts-station-service,2025-03-27 10:49:28.694748,ERROR,ts-station-service request timeout after 2880ms | trace_id=trace-624902,timeout
trace-982554,ts-station-service,2025-03-26 18:03:57.663748,ERROR,ts-station-service request timeout after 3030ms | trace_id=trace-982554,timeout
trace-916449,ts-order-service,2025-03-26 22:01:10.849748,INFO,ts-order-service processed request in 228ms,normal
