trace_id,service,duration_ms,timestamp,status,call_path,anomaly_type,path_length,hour,service_ts-auth-service,service_ts-config-service,service_ts-order-service,service_ts-payment-service,service_ts-station-service,service_ts-ticket-service,service_ts-user-service,duration_norm,path_length_norm
trace-770487,ts-order-service,324,2025-03-27 13:16:32.661748,success,ts-auth-service->ts-user-service->ts-payment-service->ts-station-service->ts-config-service,normal,5,13,False,False,True,False,False,False,False,0.007491638795986622,1.0
trace-207473,ts-config-service,5860,2025-03-26 21:28:22.661748,failed,ts-ticket-service->ts-order-service->ts-payment-service->ts-station-service->ts-config-service,resource_exhaustion,5,21,False,True,False,False,False,False,False,0.19264214046822742,1.0
trace-343962,ts-station-service,332,2025-03-26 22:55:47.661748,success,ts-station-service->ts-user-service->ts-config-service,normal,3,22,False,False,False,False,True,False,False,0.007759197324414716,0.0
trace-539898,ts-ticket-service,376,2025-03-27 09:18:11.661748,success,ts-auth-service->ts-order-service->ts-user-service->ts-ticket-service->ts-station-service,normal,5,9,False,False,False,False,False,True,False,0.009230769230769232,1.0
trace-391369,ts-ticket-service,288,2025-03-27 11:40:05.661748,failed,ts-order-service->ts-config-service->ts-ticket-service->ts-payment-service,high_error_rate,4,11,False,False,False,False,False,True,False,0.006287625418060201,0.5
trace-476417,ts-station-service,288,2025-03-27 04:48:22.661748,success,ts-config-service->ts-order-service->ts-ticket-service->ts-payment-service,normal,4,4,False,False,False,False,True,False,False,0.006287625418060201,0.5
trace-496922,ts-station-service,378,2025-03-27 14:27:36.661748,success,ts-config-service->ts-payment-service->ts-station-service->ts-auth-service,normal,4,14,False,False,False,False,True,False,False,0.009297658862876255,0.5
trace-705397,ts-payment-service,338,2025-03-27 10:19:41.661748,success,ts-order-service->ts-payment-service->ts-user-service,normal,3,10,False,False,False,True,False,False,False,0.007959866220735787,0.0
trace-910620,ts-order-service,276,2025-03-27 06:47:34.661748,success,ts-config-service->ts-order-service->ts-ticket-service,normal,3,6,False,False,True,False,False,False,False,0.00588628762541806,0.0
trace-391476,ts-payment-service,327,2025-03-27 00:49:15.661748,success,ts-user-service->ts-auth-service->ts-payment-service->ts-config-service,normal,4,0,False,False,False,True,False,False,False,0.0075919732441471575,0.5
trace-802729,ts-payment-service,276,2025-03-27 07:36:31.661748,success,ts-payment-service->ts-order-service->ts-station-service->ts-user-service->ts-auth-service,normal,5,7,False,False,False,True,False,False,False,0.00588628762541806,1.0
trace-864544,ts-user-service,276,2025-03-27 08:24:57.661748,success,ts-ticket-service->ts-auth-service->ts-station-service->ts-user-service,normal,4,8,False,False,False,False,False,False,True,0.00588628762541806,0.5
trace-817870,ts-config-service,312,2025-03-27 05:31:20.661748,success,ts-user-service->ts-order-service->ts-auth-service,normal,3,5,False,True,False,False,False,False,False,0.007090301003344481,0.0
trace-520651,ts-order-service,204,2025-03-27 07:34:51.661748,success,ts-station-service->ts-payment-service->ts-auth-service,normal,3,7,False,False,True,False,False,False,False,0.0034782608695652175,0.0
trace-322955,ts-ticket-service,213,2025-03-26 17:27:55.661748,success,ts-payment-service->ts-ticket-service->ts-user-service->ts-auth-service,normal,4,17,False,False,False,False,False,True,False,0.0037792642140468224,0.5
trace-246413,ts-payment-service,271,2025-03-27 08:20:59.661748,success,ts-station-service->ts-auth-service->ts-config-service->ts-ticket-service->ts-payment-service,normal,5,8,False,False,False,True,False,False,False,0.005719063545150503,1.0
trace-518801,ts-ticket-service,249,2025-03-27 04:08:57.661748,failed,ts-station-service->ts-ticket-service->ts-order-service,high_error_rate,3,4,False,False,False,False,False,True,False,0.004983277591973244,0.0
trace-892495,ts-config-service,315,2025-03-27 15:36:49.661748,success,ts-user-service->ts-payment-service->ts-config-service,normal,3,15,False,True,False,False,False,False,False,0.0071906354515050164,0.0
trace-930555,ts-station-service,254,2025-03-27 01:57:31.661748,success,ts-ticket-service->ts-config-service->ts-station-service,normal,3,1,False,False,False,False,True,False,False,0.005150501672240803,0.0
trace-590785,ts-auth-service,229,2025-03-26 22:03:52.661748,success,ts-config-service->ts-order-service->ts-payment-service->ts-auth-service->ts-ticket-service,normal,5,22,True,False,False,False,False,False,False,0.004314381270903009,1.0
trace-456699,ts-auth-service,373,2025-03-27 13:16:03.661748,success,ts-user-service->ts-ticket-service->ts-order-service->ts-auth-service,normal,4,13,True,False,False,False,False,False,False,0.009130434782608696,0.5
trace-624902,ts-station-service,2880,2025-03-27 10:49:28.661748,success,ts-config-service->ts-payment-service->ts-auth-service,timeout,3,10,False,False,False,False,True,False,False,0.09297658862876254,0.0
trace-982554,ts-station-service,3030,2025-03-26 18:03:56.661748,success,ts-user-service->ts-config-service->ts-auth-service->ts-payment-service->ts-station-service,timeout,5,18,False,False,False,False,True,False,False,0.0979933110367893,1.0
trace-916449,ts-order-service,228,2025-03-26 22:01:10.661748,success,ts-auth-service->ts-ticket-service->ts-order-service->ts-station-service->ts-user-service,normal,5,22,False,False,True,False,False,False,False,0.004280936454849499,1.0
trace-972064,ts-user-service,272,2025-03-27 06:07:58.661748,success,ts-user-service->ts-station-service->ts-order-service,normal,3,6,False,False,False,False,False,False,True,0.0057525083612040145,0.0
trace-189814,ts-config-service,305,2025-03-26 23:38:05.661748,success,ts-config-service->ts-station-service->ts-user-service,normal,3,23,False,True,False,False,False,False,False,0.006856187290969901,0.0
trace-234628,ts-station-service,242,2025-03-27 00:01:28.661748,success,ts-auth-service->ts-station-service->ts-payment-service,normal,3,0,False,False,False,False,True,False,False,0.004749163879598662,0.0
trace-543692,ts-station-service,318,2025-03-27 09:37:04.661748,success,ts-payment-service->ts-user-service->ts-auth-service->ts-ticket-service->ts-station-service,normal,5,9,False,False,False,False,True,False,False,0.007290969899665552,1.0
trace-781446,ts-ticket-service,269,2025-03-27 03:44:00.661748,success,ts-ticket-service->ts-order-service->ts-user-service->ts-station-service->ts-payment-service,normal,5,3,False,False,False,False,False,True,False,0.005652173913043479,1.0
trace-454508,ts-station-service,285,2025-03-27 16:33:47.661748,success,ts-user-service->ts-station-service->ts-config-service->ts-order-service->ts-ticket-service,normal,5,16,False,False,False,False,True,False,False,0.006187290969899666,1.0
trace-842225,ts-order-service,269,2025-03-26 18:21:05.661748,failed,ts-auth-service->ts-order-service->ts-payment-service,cascade_failure,3,18,False,False,True,False,False,False,False,0.005652173913043479,0.0
