trace_id,service,duration_ms,timestamp,status,call_path,anomaly_type
trace-921441,ts-ticket-service,303,2025-03-25T21:07:02.071148,success,ts-auth-service->ts-config-service->ts-ticket-service->ts-station-service->ts-user-service,normal
trace-648455,ts-config-service,346,2025-03-26T13:30:25.071148,success,ts-ticket-service->ts-station-service->ts-config-service->ts-order-service,normal
trace-709978,ts-auth-service,205,2025-03-25T21:56:55.071148,success,ts-payment-service->ts-station-service->ts-auth-service->ts-config-service->ts-user-service,normal
trace-526370,ts-auth-service,320,2025-03-26T18:06:46.071148,success,ts-config-service->ts-station-service->ts-order-service,normal
trace-749722,ts-station-service,279,2025-03-26T04:19:19.071148,success,ts-auth-service->ts-station-service->ts-ticket-service->ts-config-service->ts-payment-service,normal
trace-367673,ts-config-service,237,2025-03-26T02:17:34.071148,success,ts-auth-service->ts-payment-service->ts-order-service,normal
trace-985419,ts-ticket-service,258,2025-03-25T22:21:08.071148,success,ts-user-service->ts-auth-service->ts-station-service->ts-order-service->ts-ticket-service,normal
trace-216590,ts-user-service,291,2025-03-26T18:04:25.071148,success,ts-user-service->ts-station-service->ts-config-service,normal
trace-949009,ts-payment-service,330,2025-03-26T16:43:42.071148,success,ts-auth-service->ts-payment-service->ts-order-service,normal
trace-543389,ts-ticket-service,385,2025-03-26T00:51:18.071148,failed,ts-ticket-service->ts-user-service->ts-order-service->ts-auth-service,cascade_failure
trace-392838,ts-order-service,290,2025-03-26T14:31:50.071148,success,ts-payment-service->ts-auth-service->ts-ticket-service->ts-config-service,normal
trace-713532,ts-ticket-service,345,2025-03-26T00:49:41.071148,success,ts-auth-service->ts-payment-service->ts-user-service,resource_exhaustion
trace-831059,ts-station-service,196,2025-03-25T22:03:04.071148,success,ts-user-service->ts-payment-service->ts-auth-service,normal
trace-884023,ts-order-service,332,2025-03-25T21:14:33.071148,success,ts-order-service->ts-station-service->ts-auth-service->ts-config-service,high_error_rate
trace-526749,ts-station-service,405,2025-03-26T10:02:10.071148,success,ts-payment-service->ts-user-service->ts-config-service->ts-auth-service,normal
trace-544587,ts-config-service,270,2025-03-26T08:19:24.071148,success,ts-ticket-service->ts-payment-service->ts-order-service->ts-auth-service->ts-config-service,normal
trace-444179,ts-order-service,404,2025-03-26T13:08:43.071148,success,ts-auth-service->ts-user-service->ts-order-service,normal
trace-659472,ts-ticket-service,346,2025-03-26T18:11:33.071148,success,ts-ticket-service->ts-order-service->ts-payment-service,normal
trace-672475,ts-station-service,260,2025-03-26T16:11:56.071148,success,ts-user-service->ts-auth-service->ts-ticket-service,normal
trace-127116,ts-station-service,385,2025-03-26T04:05:01.071148,success,ts-auth-service->ts-station-service->ts-ticket-service,normal
trace-347192,ts-station-service,354,2025-03-26T19:39:35.071148,success,ts-payment-service->ts-ticket-service->ts-auth-service->ts-config-service,normal
trace-677098,ts-user-service,313,2025-03-26T03:23:36.071148,success,ts-ticket-service->ts-payment-service->ts-station-service->ts-auth-service,normal
trace-460935,ts-payment-service,247,2025-03-26T16:59:25.071148,success,ts-station-service->ts-config-service->ts-ticket-service->ts-auth-service,normal
trace-298161,ts-ticket-service,199,2025-03-26T12:49:33.071148,success,ts-payment-service->ts-ticket-service->ts-station-service->ts-order-service,high_error_rate
trace-377084,ts-config-service,277,2025-03-25T21:13:33.071148,success,ts-station-service->ts-user-service->ts-payment-service->ts-auth-service,normal
trace-419962,ts-station-service,226,2025-03-26T16:52:28.071148,success,ts-payment-service->ts-config-service->ts-auth-service->ts-order-service,normal
trace-383196,ts-payment-service,293,2025-03-26T14:05:24.071148,success,ts-user-service->ts-ticket-service->ts-order-service->ts-config-service,normal
trace-966248,ts-config-service,253,2025-03-26T18:21:20.071148,success,ts-config-service->ts-ticket-service->ts-user-service->ts-payment-service->ts-order-service,normal
trace-471137,ts-user-service,310,2025-03-26T09:09:59.071148,success,ts-station-service->ts-order-service->ts-payment-service,normal
trace-446333,ts-payment-service,242,2025-03-26T08:31:00.071148,success,ts-payment-service->ts-user-service->ts-ticket-service->ts-config-service->ts-station-service,normal
